a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase_inshort
1.2833,0.0551,1654.43,400.64,-7.9339,6.1785,1.7678,1.7891,0.1202,7.5455,2.6064,1.52E+11,37.6684,AM
1.2842,0.0402,2188.8,488.46,-4.6,1.1531,1.0297,1.92,0.1778,7.5,1.5,1.91E+11,26.6271,IM
1.2843,0.0792,2442.63,585.3,-32.8125,1.059,0.6616,2.0625,0.1259,5.25,0.9682,1.81E+11,62.936,IM
1.2853,0.0432,1806.62,325.11,-10.4297,5.1258,1.9136,1.735,0.1357,7.2188,1.9801,1.56E+11,28.6012,IM
1.286,0.0597,1746.02,335.17,-10.843,7.9799,1.8938,1.7827,0.1309,7.6364,2.4596,1.55E+11,32.3207,SS
1.2865,0.0571,1643.07,418.51,-7.92,6.2638,1.7481,1.78,0.1224,7.4,2.6907,1.49E+11,38.4,SS
1.2866,0.054,1613.23,405.7,-5.5537,6.4898,1.7678,1.7955,0.124,7.8182,2.7902,1.49E+11,37.3511,SS
1.2866,0.0592,1704.99,430.64,-13.318,5.9087,1.6744,1.7745,0.1219,7.1569,2.4763,1.54E+11,38.9884,SS
1.2867,0.057,1601.87,382.34,-8.32,6.4661,1.7481,1.802,0.1186,7.7,2.6851,1.51E+11,39.4178,SS
1.287,0.0568,1647.07,419.49,-7.28,6.0935,1.7481,1.777,0.1195,7.3,2.6096,1.49E+11,38.4,SS
1.2882,0.0592,1717.39,336.82,-8.3956,8.1944,1.9153,1.7884,0.1323,7.8525,2.5597,1.53E+11,31.4638,SS
1.2887,0.0602,1659.41,423.46,-13.1004,5.6641,1.6073,1.7725,0.1223,7.0619,2.5531,1.51E+11,41.0327,SS
1.2892,0.0563,1602.05,424.32,-4,6.4777,1.6094,1.782,0.1242,7.6,2.8705,1.45E+11,37.0427,SS
1.2896,0.0561,1519.65,334.6,-5.28,6.7031,1.6094,1.826,0.1115,8.2,2.7857,1.49E+11,39.4279,SS
1.2899,0.0569,1596.55,410.51,-6.2383,6.531,1.7864,1.7894,0.1229,7.6032,2.8033,1.47E+11,38.7854,SS
1.29,0.0247,2017,203.31,-13.44,0.2743,0.673,1.73,0.1225,6.6,1.9596,1.68E+11,9.798,IM
1.2904,0.0592,1629.19,438.96,-7.7037,6.2771,1.5811,1.7689,0.1241,7.2222,2.78,1.46E+11,39.0036,SS
1.2905,0.0508,1626.67,364.22,-3.3056,5.9779,1.7723,1.7544,0.1388,7.6825,2.4354,1.45E+11,32.9633,SS
1.2906,0.0808,1721.21,356.73,-35.0204,14.6012,1.9459,1.7614,0.1426,6.2857,2.5475,1.39E+11,39.8098,SS
1.291,0.0174,1244.27,196.58,5.25,0.7578,0.5623,1.9375,0.065,9.5,2.5981,1.16E+11,42.4352,IM
1.2912,0.0552,1593.45,420.41,-6.56,6.6315,1.6094,1.792,0.1295,7.8,2.9257,1.47E+11,38.5663,SS
1.2914,0.0478,2564.6,922.97,0,0,0.673,2.042,0.2596,7.2,0.9798,2.26E+11,68.5857,IM
1.2923,0.062,1823.93,612.12,-20.3125,2.7147,0.7356,1.8213,0.1562,8.5,2.6458,1.70E+11,35.9409,IM
1.2927,0.0581,1619.63,435.35,-10.1728,6.6243,1.5811,1.78,0.1311,7.4444,2.8717,1.48E+11,40.5737,SS
1.293,0.0484,1761.1,365.52,-10.15,5.1617,1.9037,1.7135,0.1332,6.95,1.9615,1.50E+11,32.2892,IM
1.2934,0.1263,1757.33,133.37,-2.6612,3.193,0.6889,1.7809,0.1951,7.8182,1.6689,1.59E+11,38.5293,IM
1.2934,0.0496,1590.7,366.61,-1.7435,6.1127,1.7723,1.76,0.143,7.9206,2.5961,1.43E+11,32.1719,SS
1.2935,0.0593,1570,417.48,-8.0473,6.7718,1.565,1.7885,0.1289,7.6154,2.9752,1.45E+11,40.127,SS
1.2943,0.0589,1576.15,420.06,-7.0533,6.6282,1.7782,1.7838,0.1249,7.4615,2.872,1.45E+11,40.127,SS
1.2953,0.0189,1206.44,214.01,6.2222,0.3666,0.6365,1.95,0.0707,9,2.8284,1.07E+11,46.1976,IM
1.2957,0.0611,1594.35,432.26,-10.1389,6.4961,1.7482,1.7742,0.1253,7.1667,2.7938,1.46E+11,41.7359,SS
1.2957,0.0442,2299.92,531.65,-6.72,1.8528,1.0395,1.97,0.1841,7.6,1.9596,1.97E+11,28.6224,IM
1.2967,0.2632,1729.17,355.94,-16.2222,4.1351,0.8676,1.78,0.352,7.5,3.5473,1.76E+11,87.6364,IM
1.2991,0.0505,1603.5,361.03,-4.2328,6.0344,1.7723,1.7322,0.1471,7.6032,2.44,1.41E+11,32.7678,SS
1.2992,0.0483,2680.54,939.21,0,0,0.6902,2.0746,0.2642,7.0769,0.997,2.35E+11,69.7926,IM
1.2993,0.0539,1588.21,388.58,-5.1111,6.3588,1.7918,1.7433,0.1426,7.5,2.63,1.41E+11,35.0951,SS
1.2999,0.0611,1800.1,577.58,-11.8519,4.9666,1.5811,1.7978,0.1722,6.6667,2.4495,1.56E+11,46.9652,SS
1.3004,0.0613,1547.8,431.37,-8.0796,6.7192,1.7613,1.7762,0.1273,7.2647,2.9537,1.42E+11,41.7284,SS
1.3013,0.0437,2411.25,691.04,-1.5,1.311,1.3863,1.9525,0.1452,8,0.7071,2.35E+11,80.1561,SS
1.30175,0.058520188,1446.81,336.7777121,-8,6.937218463,1.386294361,1.825,0.124599358,8.25,3.112474899,1.44E+11,42.52058325,SS
